,Unnamed: 0,Date,Count_Crashes,Count_Fatalities,text,Low,High,Precipitation,snow,snowdepth,windgust,windspeed,cloudcover,conditions,description,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
0,0,2016-01-01,0.0,0, ,3.5,19.8,0.0,0.0,7.06,40.3,9.1,0.009,Clear,Clear conditions throughout the day.,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
1,1,2016-01-02,0.0,0, ,4.6,23.5,0.0,0.0,7.02,33.3,7.7,0.623,Partially cloudy,Partly cloudy throughout the day.,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
2,2,2016-01-03,0.0,0, ,19.1,26.2,0.0,0.0,6.73,34.4,5.8,0.8340000000000001,Partially cloudy,Partly cloudy throughout the day.,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
3,3,2016-01-04,1.0,1, ,18.2,30.0,0.0,0.0,6.48,28.9,7.9,0.823,Partially cloudy,Partly cloudy throughout the day.,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
4,4,2016-01-05,0.0,0, ,27.3,38.4,0.01,0.0,6.03,0.0,14.1,0.93,"Snow, Overcast",Cloudy skies throughout the day with morning rain.,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
5,5,2016-01-06,0.0,0, ,29.7,38.6,0.08,0.0,5.3,46.1,7.5,0.912,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
6,6,2016-01-07,0.0,0,THE NATIONAL WEATHER SERVICE IN SALT LAKE CITY HAS ISSUED A DENSE FOG ADVISORY...WHICH IS IN EFFECT UNTIL 11 AM MST THIS MORNING. * AFFECTED AREA...THE SALT LAKE AND TOOELE VALLEYS. * VISIBILITIES...QUARTER MILE OR LESS. * TIMING...THROUGH MID MORNING. * IMPACTS...POOR VISIBILITIES WILL CREATE DIFFICULT DRIVING CONDITIONS THROUGH THE MORNING COMMUTE. MOTORISTS SHOULD ALSO USE CAUTION AS ROADWAYS MAY BE SLICK.,31.0,33.9,0.03,1.36,5.87,0.0,4.9,0.958,"Snow, Overcast",Cloudy skies throughout the day with late afternoon snow.,0.4032233953475952,0.0,0.19489671289920807,0.3816884160041809,0.0,0.0
7,7,2016-01-07,0.0,0,THE NATIONAL WEATHER SERVICE IN SALT LAKE CITY HAS ISSUED A WINTER WEATHER ADVISORY FOR SNOW...WHICH IS IN EFFECT UNTIL NOON MST FRIDAY. * AFFECTED AREA...THE WASATCH FRONT...TOOELE VALLEY...GREAT SALT LAKE DESERT AND MOUNTAINS...AND WEST CENTRAL UTAH. * SNOW ACCUMULATIONS...1 TO 4 INCHES WITH LOCALLY HIGHER AMOUNTS POSSIBLE. * TIMING...SNOW WILL INCREASE THIS EVENING AND CONTINUE OVERNIGHT THROUGH FRIDAY MORNING BEFORE TAPERING OFF.  * IMPACTS...ACCUMULATING SNOW WILL IMPACT TRAVEL ACROSS NORTHERN AND WESTERN UTAH OVERNIGHT THROUGH FRIDAY MORNING...INCLUDING THE MORNING COMMUTE. BE PREPARED FOR WINTER DRIVING CONDITIONS...AND PLAN ACCORDINGLY...INCLUDING ALLOWING EXTRA TRAVEL TIME.,31.0,33.9,0.03,1.36,5.87,0.0,4.9,0.958,"Snow, Overcast",Cloudy skies throughout the day with late afternoon snow.,0.0,0.0,0.29149675369262695,0.6925626397132874,0.0,0.0
8,8,2016-01-08,0.0,0, ,30.7,35.0,0.12,0.58,6.45,0.0,10.8,0.925,"Snow, Overcast",Cloudy skies throughout the day with snow clearing later.,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
9,9,2016-01-09,0.0,0, ,29.6,34.9,0.0,2.86,7.6,0.0,8.3,0.8759999999999999,Partially cloudy,Partly cloudy throughout the day.,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
